epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,3946.61,0.53092,0.03548,0.05469,0.32843,0.86742,0.99904,1,0.995,0.91166,0.99904,1,0.995,0.995,0.45883,0.02474,0.02,0.26999,0.83866,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
65,4007.62,0.52249,0.03782,0.0498,0.32756,0.86289,0.99938,1,0.995,0.93586,0.99938,1,0.995,0.99253,0.43486,0.03453,0.0151,0.25116,0.82878,0.0272846,0.00909486,0.0272846,0.00909486,0.0272846,0.00909486,0.0272846,0.00909486
66,4068.43,0.5288,0.03545,0.05191,0.32908,0.86806,0.99897,1,0.995,0.92329,0.99897,1,0.995,0.99445,0.46314,0.02165,0.01429,0.2642,0.83411,0.0272421,0.00908071,0.0272421,0.00908071,0.0272421,0.00908071,0.0272421,0.00908071
67,4129.55,0.52738,0.03775,0.05588,0.33068,0.86687,0.999,1,0.995,0.91998,0.999,1,0.995,0.995,0.43427,0.01857,0.02814,0.24723,0.83196,0.0271997,0.00906657,0.0271997,0.00906657,0.0271997,0.00906657,0.0271997,0.00906657
68,4190.24,0.52129,0.03641,0.04553,0.32465,0.8645,1,0.99903,0.995,0.92285,1,0.99903,0.995,0.9947,0.44153,0.02188,0.03183,0.25567,0.82847,0.0271573,0.00905243,0.0271573,0.00905243,0.0271573,0.00905243,0.0271573,0.00905243
69,4251.08,0.52012,0.03719,0.04428,0.32514,0.86263,0.99954,1,0.995,0.92612,0.99954,1,0.995,0.99461,0.452,0.02464,0.00773,0.26126,0.83278,0.0271149,0.00903829,0.0271149,0.00903829,0.0271149,0.00903829,0.0271149,0.00903829
70,4311.86,0.52265,0.03957,0.054,0.32363,0.86478,0.99948,1,0.995,0.92219,0.99948,1,0.995,0.99457,0.45242,0.02081,0.01176,0.2448,0.83922,0.0270724,0.00902414,0.0270724,0.00902414,0.0270724,0.00902414,0.0270724,0.00902414
71,4372.3,0.51934,0.03521,0.04747,0.32588,0.86182,0.98723,1,0.99488,0.91762,0.98723,1,0.99488,0.99444,0.45775,0.02196,0.00972,0.25528,0.84472,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
72,4433.07,0.52108,0.0344,0.05342,0.32474,0.86651,0.99899,1,0.995,0.91196,0.99899,1,0.995,0.99464,0.45864,0.02212,0.00458,0.25159,0.84972,0.0269876,0.00899586,0.0269876,0.00899586,0.0269876,0.00899586,0.0269876,0.00899586
73,4493.77,0.52388,0.03271,0.0471,0.32906,0.86212,0.99935,1,0.995,0.92294,0.99935,1,0.995,0.995,0.44096,0.02,0.0147,0.25952,0.8287,0.0269451,0.00898171,0.0269451,0.00898171,0.0269451,0.00898171,0.0269451,0.00898171
